Lipid_name,full_smiles,Amine,Tail,amine_filled,tail_filled,amine_corrected,fill_confidence,fill_tanimoto,fill_note
A1_B1_C1,CCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B2_C1,CCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCC(C)CCCCC)NCCN(C)C,CN(C)CCN,CCCCCC(C)CCC(=O)OCCCCCC=O,False,False,False,,,
A1_B3_C1,CCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B4_C1,CCCCCCC/C=C/C(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCC,CN(C)CCN,CCCCCCC/C=CC(=O)OCCCCCC=O,False,False,False,,,
A1_B5_C1,CCCCCCC/C=C\C(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCC,CN(C)CCN,CCCCCCC\C=CC(=O)OCCCCCC=O,False,False,False,,,
A1_B6_C1,CCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B7_C1,C#CCCCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCC,CN(C)CCN,C#CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B8_C1,C=CCCCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCC,CN(C)CCN,C=CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B9_C1,CCCCCCCCCCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCC,CN(C)CCN,CCCCCCCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B10_C1,CCCCCCCCCCCCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCC,CN(C)CCN,CCCCCCCCCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B11_C1,CCCCCCCC/C=C\CCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCC,CN(C)CCN,CCCCCCCCC=CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B12_C1,CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCC,CN(C)CCN,CCCCCC=CCC=CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B1_C2,CCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B2_C2,CCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCC(C)CCCCC)NCCN(C)C,CN(C)CCN,CCCCCC(C)CCC(=O)OCCCCCC=O,False,False,False,,,
A1_B3_C2,CCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B4_C2,CCCCCCC/C=C/C(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCCCC,CN(C)CCN,CCCCCCC/C=CC(=O)OCCCCCC=O,False,False,False,,,
A1_B5_C2,CCCCCCC/C=C\C(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCCCC,CN(C)CCN,CCCCCCC\C=CC(=O)OCCCCCC=O,False,False,False,,,
A1_B6_C2,CCCCCCCCCCCCCCNC(=O)C(CCCCCOC(=O)CCCCCCCCCC)NCCN(C)C,CN(C)CCN,CCCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B7_C2,C#CCCCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCCCC,CN(C)CCN,C#CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
A1_B8_C2,C=CCCCCCCCCC(=O)OCCCCCC(NCCN(C)C)C(=O)NCCCCCCCCCCCCCC,CN(C)CCN,C=CCCCCCCCCC(=O)OCCCCCC=O,False,False,False,,,
