SMILES,MACCS_156,Xc-5d,MACCS_97,ETA_eta_F,MDEO-11,minwHBa,SRW07,PEG_Lipid_Mol_Ratio,AATSC8i,ECFP4_1073,unnormalized_delivery_x_ECIndex,ECFP4_1734,maxdssC,num_tail_branching,dist_to_cluster_0,ECFP4_1791,ECFP4_1669,AATSC1v,gmin,ATS6dv_sq,cluster_molmeta,ECFP4_1422,ECFP4_677,unnormalized_delivery_div_WPath,MAXdsCH,Lipid_name_sqrt,Buffering_7p4_6p5,unnormalized_delivery_div_ATSC2v,WTPT-3,Value_name,PEOE_VSA8,GGI3,AATSC4Z,unnormalized_delivery_x_ATS6dv,MDEN-12,ECFP4_1780,nHBint5,GGI9,AETA_eta_RL,MDEN-23,ECFP4_966,SM1_Dzs,ETA_eta_B,MATS8s,Ipc_x_unnormalized_delivery,ATSC8p,ECFP4_713,Target_or_delivered_gene,ECFP4_1283,ETA_epsilon_2,MAXsCH3,ETA_dEpsilon_D,ATSC7pe,nHBint9,unnormalized_delivery_x_ATSC6v,AATSC4dv,MLFER_E,MATS4se,SRW09,MATS7c,EState_VSA3,unnormalized_delivery_x_VR1_Dze,unnormalized_delivery_x_VR2_Dze,unnormalized_delivery_div_ATSC8v,ECFP4_935,AATSC1dv,unnormalized_delivery_div_VR2_Dzs,unnormalized_delivery_cube,ECFP4_1420,SHBint3,nAtomLC,ECFP4_1757,min_cluster_dist,ATSC2v,MAXdssC,split_name_for_normalization,ATSC2dv,AETA_eta_FL,ECFP4_1607,ETA_EtaP,MDEO-12,ECFP4_139,cluster_molformer,VR1_Dze,Helper_lipid_ID,EState_VSA5,SsssCH,ATSC5dv,Sum_PCP_good,EState_VSA1,unnormalized_delivery_sqrt,unnormalized_delivery_div_VR1_Dzs,ZMIC2,ECFP4_1066,Mix_type,ATS0dv_sqrt,ECFP4_1670,ATSC4i,ECFP4_28,MINsCH3,ECFP4_246,ATSC1se,ECFP4_1840,dist_to_ester_median,head_TPSA_proxy,tail_ether_cnt,Experimenter_ID,BCUTZ-1h,maxHBint9,ATSC4are,VR3_Dze,MLFER_BH,BCUTs-1l,ECFP4_339,GATS2e,Route_of_administration_subcutaneous,unnormalized_delivery_x_ATSC8v,nHBint8,head_to_total_TPSA_ratio,ATSC4s,BCUTp-1h,unnormalized_delivery_div_ATSC6v,ATSC4se,SHBint8,AATSC0s,SHBint10,EState_VSA2,ETA_EtaP_F,cis_mid_kink_score,Lipid_name_cube,MATS4c,ECFP4_955,FilterItLogS,maxHBint7,AETA_eta_B,ECFP4_1163,MATS5s,BCUTpe-1l,maxwHBa,HLB_proxy,minsssCH,ECFP4_1236,Delivery_target,Diameter,HybRatio,AATSC2Z,head_local_congestion_b2,GATS8c,Route_of_administration_intravenous,ATSC4p,label,replica_1,replica_2,replica_3
CCCCCCCCC(C(OCCCCCCOC(CCN(CCC(OCCCCCCOC(C(CCCCCCCC)CCCCCC)=O)=O)CCCN1CCN(CCCN(CCC(OCCCCCCOC(C(CCCCCCCC)CCCCCC)=O)=O)CCC(OCCCCCCOC(C(CCCCCCCC)CCCCCC)=O)=O)CC1)=O)=O)CCCCCC,0.2773797338792221,0.1268768257828398,0.6734902763561924,488.0,58.36438075742067,-0.1636000895905382,0.4671159681967538,2.0,-0.0116546646541782,0.0,100000000.0,1.0,0.1210495440166874,8.0,100000000.0,1.0,0.0,-2.142892802371667,-0.2536961916349224,672387.6902644598,5.0,0.0,1.0,1428.6016707728413,391.5997952917093,20.85665361461421,0.0478767881132462,-36164.543457572196,30.17312106679065,1.1728395061728396,52.84990627614757,2.2018153644944847,0.0437452002409755,100000000.0,8.79324462640737,0.0,0.141519250780437,0.4670706970190935,383.0419651995906,24.416581371545547,0.0,4.389244558371888,141.95803480040942,0.0516349387889205,100000000.0,-0.9684930831493374,0.0,0.0,1.0,321.7482088024565,468.2036847492324,89.77277379733879,-0.6369720019080192,0.3433922996878252,100000000.0,0.0844403567980206,1.29243912591051,0.0243682768553074,0.962246742237054,-0.0167326964281236,51.854816398806726,100000000.0,100000000.0,-580183.4352058046,1.0,0.6535397068298472,1579.0151356814465,100000000.0,0.0,0.3676562190674284,66.70551508844953,0.0,100000000.0,-3321.136906951654,483.5261003070625,4.0,14.555710426985488,467.5946775844422,0.0,1.837165567117586,74.71852610030706,0.0,11.0,6443547.222697997,0.5570071258907363,138.74749093091006,-0.0227873926279192,25.30151925611181,0.0,3.4793579424998295,10959.352170634906,19.064440815546664,135.2011804736256,0.0,0.76,26.74589050551958,0.0,-6.73198387228329,0.0,479.77482088024567,0.0,0.2651217990340898,0.0,14.0,44.672,8.0,0.0,488.0,0.2596352527605643,1.0807623835400098,104.5999602173395,3.2586566077003125,458.3080859774821,0.0,0.9145735934905852,0.0,-100000000.0,0.1269510926118626,0.2,-13.188960488129736,488.0,272151.71989982895,0.5621509282604547,0.1887437217677911,0.7806524674817982,1.0924337294559456,45.18674253017649,0.5447731529656609,0.0,82312875.0,0.0415531906519392,1.0,-19.315647080057776,0.4034777938760005,360.5578300921187,0.0,-0.0083352894571456,457.28863868986696,1.900031491841827,0.375,-0.0474225989585677,0.0,2.0,48.264073694984646,0.8484005469590649,-0.6992820005191579,0.0,1.221254613599982,1.0,-1.041087153020887,-0.8,train,train,train
N(CCC(=O)OCCCCCCCC\C=C/CC(CCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)(CCC(=O)OCCCCCCCC\C=C/CC(CCCCCC)OC(=O)CCC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)CCCn1ccnc1,0.0,0.0,1.0,588.0,11.0,-0.1878142036018675,4.442651256490317,2.5,0.0254269657023343,0.0,0.0,1.0,0.0,4.0,4752493.581131383,0.0,0.0,-1.8237120263500888,-0.1878142036018675,835396.0,6.0,0.0,1.0,0.0,118.0,30.430248109405877,0.0068816828513293,-0.0,31.97076876327597,1.0,57.71124285266792,1.9722222222222223,-0.085618251818677,0.0,9.0,0.0,0.0,0.3706172839506174,489.0,12.0,0.0,4.172276334772505,61.0,0.0505660782179996,0.0,0.2184273130363095,0.0,2.0,1.0,144.0,146.0,0.0,-3.409085622566771,0.0,0.0,-0.0091685892955135,2.3550000000000004,0.0195309582645465,6.259581464064923,-0.1405648574259406,51.986563232555014,0.0,0.0,-0.0,1.0,0.6042278532887098,0.0,0.0,0.0,0.0,94.0,0.0,4752493.581131383,-4546.319463339953,190.0,9.0,-22.707943446485853,610.0,0.0,1.70121,20.0,0.0,17.0,11001418.419417351,0.0,51.36657298340809,-0.0891077847087162,-5.210709650980139,1.0,0.0,0.0,0.0,129.593282960522,0.0,1.0,29.93325909419153,1.0,21.84629000133755,0.0,354.0,0.0,0.3254835041322336,0.0,18.0,11.478181818181818,4.0,7.0,492.0,0.0,0.6795898931084003,160.51399421972732,2.9530000000000003,410.0,0.0,0.8227311103992764,0.0,-0.0,0.0,0.0909090909090909,-18.59796452504003,518.0,0.0,0.4855064386995446,0.0,0.7487558720184565,0.0,36.085153927304,0.70277,18.0,100000000.0,0.0618740618899816,1.0,-19.75244642988295,0.0,55.0,0.0,-0.0280140917096601,160.0,2.2625674860844276,0.1578947368421052,-0.0445538923543584,0.0,2.0,74.0,0.6477272727272727,-0.8993933431609674,0.0,1.1218824959445668,1.0,0.4698341754904398,-0.3,train,train,valid
CCN(CC)CCCCN(C(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)C(CCCC(=O)OCC(CCC)CCC)(CCCC(=O)OCC(CCC)CCC)C(=O)NCCCC,1.0,0.5072126825797822,0.0,457.0,105.0,-0.2643195298853649,0.0,2.5,0.0662925590093763,0.0,-1382.57751717,0.0,0.0,3.0,4752493.96479936,0.0,1.0,-2.320387967132093,-1.2370945040550816,986049.0,5.0,0.0,1.0,-1.3278840958754438e-05,33.0,10.954451150103322,0.0068816828513293,0.00018583439203633334,25.89070052290613,2.0,32.35197768060318,3.375,-0.1678021323322291,-386.188319142,9.0,0.0,1.0,0.7800000000000002,153.0,9.0,0.0,3.540734126983125,115.0,0.0744827737455351,-100000000.0,4.671625144164782,0.0,0.0,0.0,215.0,869.0,59.0,6.4686350772889805,0.0,-216.05969278242688,-0.1414159543520367,1.5330000000000004,-0.0938976465193458,0.0,0.1255419827102446,70.24319694780381,-371.65044808147513,-5.386238377992393,-0.0004326619438882889,0.0,0.7950691785859111,-0.026498422810083928,-0.058823336687090166,1.0,0.2834390433809669,69.0,0.0,4752493.96479936,-2092.7810495054237,650.0,7.0,55.881093935790794,529.0,0.0,1.87668,98.0,0.0,8.0,955.6189989506308,0.0,0.0,0.6888473104580013,-15.33769322235431,1.0,5.538925252383345,0.6236270472004882,-0.0003840351131896222,82.12024944918699,1.0,0.0,25.059928172283335,1.0,-10.00316235607322,0.0,913.0,0.0,0.1708532306777642,0.0,10.0,11.694444444444446,2.0,5.0,226.0,0.0,-2.9537260107015144,47.35027914896907,2.9370000000000007,108.0,0.0,0.7567334682579813,0.0,-349.5836184441819,1.0,0.1111111111111111,-33.683359619280395,371.0,-0.0007000450938337334,-1.93922572294887,0.3650522015744781,0.9240498983426548,0.0,43.01543490338474,0.70796,9.0,1728000.0,-0.0646468241691382,0.0,-14.140833188419782,2.0363083138459195,401.0,0.0,-0.013033225426407,132.0,2.2088779679582338,0.2368421052631578,0.3444236552290006,0.0,4.0,33.0,0.7333333333333333,-0.4148017802777912,0.0,1.430647440065627,0.0,-1.078098740625259,0.8,train,valid,train
CCCCCCCCCCCC(N(C)CCN(CC)CC)C#CC1C=CC(COC(C(CCCCCCCC)CCCCCC)=O)=CC=1,1.0,0.2357022603955158,0.0,118.0,121.0,-0.0036957749052548,0.0,1.5,-0.0434696503715881,0.0,100000000.0,0.0,1.0423920279657246,3.0,100000000.0,0.0,0.0,-1.936659759764019,-0.0036957749052548,221841.0,5.0,0.0,0.0,133162.8584508785,566.0,22.091252691140276,0.0137633657026587,-1384038.1914401322,12.083665633831265,1.1728395061728396,18.652964303522147,1.375,-0.0979759327973613,100000000.0,9.0,0.0,0.0,0.3225,242.0,29.0,0.0,0.5604437229434325,29.0,0.0058617332035053,100000000.0,-1.740768580696075,0.0,0.0,1.0,40.0,941.0,0.0,-0.9479421768707372,0.0,100000000.0,0.1168509070294784,0.954,-0.0244292353314613,0.0,-0.024394248189119,6.606881964512918,100000000.0,100000000.0,-6633407.980636917,0.0,0.7248677248677248,19719326.354918268,100000000.0,0.0,0.0,23.0,0.0,15716786.143306525,-1166.3936320429416,394.0,10.0,40.21088435374148,428.0,0.0,1.59294,69.0,0.0,14.0,831.1317123587521,0.5570071258907363,109.1539675897422,0.3113639660472944,60.77551020408161,1.0,0.0,40178.76719114214,410819.29906079726,83.9259513913219,0.0,0.0,19.235384061671343,0.0,-29.592541826744913,0.0,948.0,0.0,0.1992857142857329,0.0,13.0,16.39,1.0,1.0,148.0,0.0,-0.2299306626354111,32.269383748428126,1.8520000000000003,175.0,0.0,1.0753229599478853,0.0,-100000000.0,0.0,0.5,-5.212620027434845,609.0,1871464.158096951,-0.2193283718820724,0.0,0.433078581226729,0.0,17.929052163261204,0.50857,0.0,100000000.0,-0.0418346281895187,0.0,-13.189994402952882,0.0,268.0,1.0,0.0218578213230619,4.0,3.6414241895065103,0.2,0.0413155906103768,0.0,2.0,29.0,0.8333333333333334,-0.5380102040816329,0.0,1.0192647642081,1.0,-2.9653025449961916,0.3,train,train,train
N(CCC(=O)OCCCCCCCC\C=C/CC(CCCCCC)OC(=O)C(CCCCCC)CCCCCCCC)(CCC(=O)OCCCCCCCC\C=C/CC(CCCCCC)OC(=O)C(CCCCCC)CCCCCCCC)CCC1OCCO1,0.0,0.2357022603955158,1.0,383.0,11.0,-0.1952776785193397,4.442651256490317,2.5,0.0043017430075735,1.0,0.0,1.0,0.0581504789269222,6.0,4752493.577404698,0.0,0.0,-1.825239370327536,-0.245007039136923,799236.0,6.0,0.0,1.0,0.0,373.0,29.715315916207253,0.0068816828513293,-0.0,31.774627848934184,1.0,38.89673408651575,2.3472222222222223,0.0449464301765274,0.0,9.0,0.0,0.0,0.4787654320987655,373.0,29.0,0.0,5.796564195296696,93.0,0.1581446324030707,0.0,-1.247323662263901,0.0,2.0,1.0,264.0,532.0,0.0,-5.202148630027216,0.0,0.0,0.0719802369069998,0.7469999999999999,0.0252045796929876,6.259581464064923,-0.1724084581648387,52.4826186987154,0.0,0.0,-0.0,0.0,0.656732361266891,0.0,0.0,0.0,0.0,85.0,0.0,4752493.577404698,-4140.103104899413,369.0,9.0,66.87101426053519,135.0,0.0,2.00306,35.0,0.0,17.0,10001164.422304025,0.0,166.9413621960763,-0.1846000841981681,4.564332639000181,1.0,0.0,0.0,0.0,158.4798537014281,0.0,1.0,27.85677655436824,0.0,26.813279749341923,0.0,727.0,0.0,0.3509275949367261,0.0,18.0,11.536363636363635,6.0,7.0,550.0,0.0,1.4640294165821135,145.06390877768865,2.8830000000000005,164.0,0.0,0.857707692634301,0.0,-0.0,0.0,0.0909090909090909,-16.319812134411823,330.0,0.0,0.7818095427015068,0.0,0.7587528510190477,0.0,67.05263599481401,0.47481,3.0,100000000.0,0.0800501468927987,0.0,-22.765962282100222,0.0,182.0,0.0,-0.032056419896116,279.0,2.3005219602799185,0.1764705882352941,-0.245007039136923,0.0,2.0,54.0,0.8987341772151899,-0.7158983445966112,0.0,1.0359853536059067,1.0,2.6011375471032805,-0.3,train,train,train
CCCCCCCCC=CCCCCCCCCOP(=O)(C(C)(CN(C)C)O)OCCCCCCCCC=CCCCCCCCC,0.2773797338792221,0.1268768257828398,0.6734902763561924,488.0,58.36438075742067,-0.1636000895905382,0.4671159681967538,0.573613767,-0.0116546646541782,0.0,100000000.0,0.0,0.1210495440166874,0.0,100000000.0,0.0,0.0,-2.142892802371667,-0.2536961916349224,672387.6902644598,5.0,0.0,0.0,2040.6228317430673,391.5997952917093,14.317821063276353,0.0068816828513293,-51657.64158679937,30.17312106679065,1.1728395061728396,52.84990627614757,2.2018153644944847,0.0437452002409755,100000000.0,8.79324462640737,0.0,0.141519250780437,0.4670706970190935,383.0419651995906,24.416581371545547,0.0,4.389244558371888,141.95803480040942,0.0516349387889205,100000000.0,-0.9684930831493374,0.0,0.0,0.0,321.7482088024565,468.2036847492324,89.77277379733879,-0.6369720019080192,0.3433922996878252,100000000.0,0.0844403567980206,1.29243912591051,0.0243682768553074,0.962246742237054,-0.0167326964281236,51.854816398806726,100000000.0,100000000.0,-828737.3511467384,0.0,0.6535397068298472,2255.474288922197,100000000.0,0.0,0.3676562190674284,66.70551508844953,0.0,100000000.0,-3321.136906951654,483.5261003070625,3.0,14.555710426985488,467.5946775844422,0.0,1.837165567117586,74.71852610030706,0.0,2.0,6443547.222697997,0.5570071258907363,138.74749093091006,-0.0227873926279192,25.30151925611181,1.0,3.4793579424998295,13098.17162813192,27.231756758042373,135.2011804736256,0.0,0.76,26.74589050551958,0.0,-6.73198387228329,0.0,479.77482088024567,0.0,0.2651217990340898,0.0,-1.0,9.833333333333332,0.0,0.0,488.0,0.2596352527605643,1.0807623835400098,104.5999602173395,3.2586566077003125,458.3080859774821,0.0,0.9145735934905852,0.0,-100000000.0,0.1269510926118626,0.1666666666666666,-13.188960488129736,488.0,388743.0798154522,0.5621509282604547,0.1887437217677911,0.7806524674817982,1.0924337294559456,45.18674253017649,0.5447731529656609,0.0,8615125.0,0.0415531906519392,0.0,-19.315647080057776,0.4034777938760005,360.5578300921187,1.0,-0.0083352894571456,457.28863868986696,1.900031491841827,0.1944444444444444,-0.0474225989585677,0.0,5.0,48.264073694984646,0.8484005469590649,-0.6992820005191579,0.0,1.221254613599982,1.0,-1.041087153020887,0.1,test,train,train
N(CCC(=O)OCCCCCCCC\C=C/CC(CCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)(CCC(=O)OCCCCCCCC\C=C/CC(CCCCCC)OC(=O)CCCCCCC/C=C\C/C=C\CCCCC)CCC1OCCO1,0.0,0.0,1.0,475.0,11.0,-0.2002968093540076,4.442651256490317,2.5,0.007924318632742,1.0,0.0,1.0,0.0,4.0,4752493.576855097,0.0,0.0,-1.7651533236673946,-0.2472588466294114,659344.0,6.0,0.0,1.0,0.0,471.0,29.614185789921695,0.0068816828513293,-0.0,31.66018001280716,1.0,51.738377332367776,1.8472222222222223,0.0023043256733213,0.0,9.0,0.0,0.0,0.3587654320987654,470.0,29.0,0.0,5.391910499136884,61.0,0.1758352994082119,0.0,-0.8232311916724904,0.0,2.0,1.0,231.0,398.0,0.0,-4.854881830546999,0.0,0.0,0.0700229533681261,1.3210000000000002,0.0414359298567772,6.259581464064923,-0.1955948749630963,65.32426194456741,0.0,0.0,-0.0,0.0,0.5995764535734577,0.0,0.0,0.0,0.0,89.0,0.0,4752493.576855097,-4659.466975415215,271.0,9.0,10.71896145038827,384.0,0.0,1.84099,35.0,0.0,17.0,10001321.900196468,0.0,154.0997189502243,-0.2818147482537525,7.307622113944315,1.0,0.0,0.0,0.0,141.91737002786311,0.0,1.0,28.77498913987632,1.0,19.548109620577904,0.0,631.0,0.0,0.3451030705394213,0.0,18.0,11.536363636363635,6.0,7.0,553.0,0.0,1.980099228663416,151.5113416230714,2.935,343.0,0.0,0.8735200015202319,0.0,-0.0,0.0,0.0909090909090909,-11.50842645041695,395.0,0.0,1.2228734961863603,0.0,0.7562226316121738,0.0,55.21682390249123,0.5368,9.0,100000000.0,0.0856978211162629,0.0,-22.157420290934606,0.0,73.0,0.0,-0.0252547561650408,208.0,2.3210649182674303,0.1666666666666666,-0.2472588466294114,0.0,2.0,70.0,0.8072289156626506,-0.8549591868526782,0.0,1.0205434698379403,1.0,1.1521279895166223,-0.3,valid,train,train
CCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCC)CCN(C)CCCN(C)CCN(CCC(=O)OCCCCCCCCCC)CCC(=O)OCCCCCCCCCC,0.0,0.0,1.0,332.0,16.0,-0.1636965532209799,0.0,1.5,-0.1270328173949091,0.0,2173.59550184,1.0,0.0,0.0,4752493.052632151,0.0,0.0,-3.6787756310503545,-0.1636965532209799,463761.0,5.0,0.0,1.0,1.2667717652540709e-05,566.0,22.091252691140276,0.0275267314053175,-0.00019636410419883552,35.361218030615106,0.0,52.358051247300594,1.375,-0.0289964166360832,351.762960255,9.0,0.0,0.0,0.5000000000000001,196.0,29.0,0.0,5.737002341919833,105.0,0.2901914650660883,100000000.0,-5.361817360736371,0.0,1.0,0.0,388.0,309.0,0.0,-0.5421705763913034,0.0,316.0005067013642,0.2052931019907149,0.6639999999999999,0.0859427438464403,0.0,-0.0373184238334999,78.28983997340602,1033460.5323432715,14156.993593743446,0.0017294470054601504,0.0,0.6832630294325571,1.8846771990574848e-05,0.13781896577167713,0.0,0.0,73.0,1.0,4752493.052632151,-2630.515679571252,77.0,23.0,-8.66364197696581,340.0,0.0,1.8205,27.0,0.0,1.0,2000741.129809628,2.0,154.0997189502243,0.0,64.1909849928857,1.0,0.0,0.7187063760674453,2.581749587749979e-07,136.00261431753137,0.0,0.0,25.729360660537214,0.0,-9.363944098225026,0.0,304.0,0.0,0.3499659034068058,0.0,10.0,39.38666666666667,4.0,6.0,349.0,0.0,3.779006880721629,105.91590611394378,4.0809999999999995,595.0,0.0,0.9229443958159568,0.0,154.27612865982024,0.0,0.3333333333333333,-7.468007343970457,91.0,0.0008443416484039427,2.339673269510592,0.0,0.8629180201705636,0.0,23.87722115180739,0.551,0.0,100000000.0,0.1307312321271743,0.0,-17.937073530317576,0.0,366.0,1.0,0.0114958270876228,634.0,0.0,0.4,0.0,1.0,2.0,38.0,0.9344262295081968,-0.7036141002878363,0.0,0.9792788319622074,1.0,-1.7850353080046686,0.0,valid,train,train
CCCCCCCCCCCCOC(=O)CCN(CCC(=O)OCCCCCCCCCCCC)CCN(C)CCN(CCC(=O)OCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCC,0.0,0.0,1.0,289.0,20.0,-0.1828654664698272,0.0,1.5,-0.046746745767311,0.0,4289.524870644,1.0,0.0,0.0,4752492.576711302,0.0,0.0,-3.0253297139782256,-0.1828654664698272,474721.0,5.0,0.0,1.0,2.2063219166796553e-05,566.0,22.091252691140276,0.0206450485539884,-0.00029781917307638645,32.15964029122793,0.0,52.358051247300594,1.125,-0.011903323647046,682.717171604,9.0,0.0,0.0,0.36,298.0,29.0,0.0,5.614456654455353,74.0,0.2960382334310311,100000000.0,-1.5413717809438583,0.0,1.0,0.0,317.0,480.0,0.0,0.6282320075711727,0.0,70.8663443430384,0.1962225599352269,0.548,0.0896799989305747,0.0,-0.0491424694933785,65.69606629352711,2973384.1710670455,39123.475935092705,0.0011294321826770498,0.0,0.6244393167021812,2.509608108235079e-05,0.972892405328504,0.0,0.0,76.0,0.0,4752492.576711302,-3327.123723313317,56.0,23.0,2.4304399524375526,201.0,0.0,1.87953,37.0,0.0,1.0,3000747.277312501,2.0,205.4662919336324,0.0,60.96076099881091,1.0,0.0,0.995430176355931,3.302115931888262e-07,163.73893012124162,0.0,0.0,25.612496949731394,0.0,-19.679752616447857,0.0,215.0,0.0,0.3379967846829749,0.0,6.0,31.34181818181819,4.0,6.0,359.0,0.0,3.8591708728675824,113.34922650119152,3.4210000000000007,551.0,0.0,0.8710228616458101,0.0,869.3267634092527,0.0,0.2727272727272727,-5.1127268584802135,110.0,0.013854893080192303,2.383949250988866,0.0,0.8215060895543314,0.0,49.56050764351144,0.50527,0.0,100000000.0,0.1245368442893113,0.0,-20.160739085890032,0.0,250.0,1.0,0.0129499685736885,585.0,0.0,0.2916666666666667,0.0,1.0,2.0,38.0,0.9384615384615383,-0.7991460659122772,0.0,1.1014818857259263,1.0,-2.1237137793031193,1.3,valid,valid,train
CCCCCCCCCCCCCOC(=O)CCN(CCCN(C)CCCN(CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC)CCC(=O)OCCCCCCCCCCCCC,0.0,0.0,1.0,300.0,19.0,-0.1592259662139048,0.0,1.5,0.0573320992287751,0.0,5205.299103085,1.0,0.0,0.0,4752492.56224694,0.0,0.0,-2.786182223231178,-0.1592259662139048,462400.0,5.0,0.0,1.0,1.744854162821071e-05,566.0,22.091252691140276,0.0206450485539884,-0.0002646532375329507,32.1487720663645,0.0,26.1790256236503,1.375,-0.0421638956873997,681.3481020400001,9.0,0.0,0.0,0.44,356.0,29.0,0.0,5.623161189354732,75.0,0.2417790248925592,100000000.0,1.5684788616633545,0.0,1.0,0.0,262.0,594.0,0.0,-4.713392207366768,0.0,1722.911008983059,0.1697921062255605,0.548,0.0912463294756314,0.0,-0.2763774242163436,78.28983997340602,3006794.8794300375,36668.23023695167,-0.006188184907960887,0.0,0.5769896193771626,2.7379822104375965e-05,1.0059593077463027,0.0,0.0,82.0,1.0,4752492.56224694,-3786.020198884769,85.0,23.0,-2.934256055363349,128.0,0.0,1.93138,31.0,0.0,1.0,3000845.6938394634,2.0,231.14957842533644,0.0,106.29065743944638,1.0,0.0,1.000990760696621,3.339002695655605e-07,179.5629079465837,0.0,0.0,26.076809620810597,0.0,42.024841913566775,0.0,313.0,0.0,0.362634543846371,0.0,7.0,31.34181818181819,4.0,6.0,388.0,0.0,3.6896372985811094,122.29811857979551,3.4210000000000007,516.0,0.0,0.8717485192760074,0.0,-162.23964720682045,0.0,0.2727272727272727,-4.733820515095464,130.0,0.0005827166528529721,2.47654579693291,0.0,0.7618587753003511,0.0,23.87722115180739,0.47406,0.0,100000000.0,0.1303250521537126,0.0,-22.42913495358588,0.0,196.0,1.0,0.0190418190321794,539.0,0.0,0.2692307692307692,0.0,1.0,2.0,42.0,0.943661971830986,-0.849136568803028,0.0,0.9599380028579858,1.0,1.5713684913124952,1.3,train,train,train
