,Mean,Std,Max,Min,ExtremeVariance
GM_0,-0.0004706873,0.0035783306,0.035824187,-0.02722437,0.06304856
GM_1,0.00066167035,0.0075213397,0.074242346,-0.052861325,0.12710367
GM_2,0.00084999285,0.009882489,0.06556822,-0.05679327,0.122361496
GM_3,0.0014292222,0.004400618,0.037266552,-0.02731407,0.06458062
GM_4,-0.0047999984,0.0037017209,0.0163055,-0.051847264,0.06815276
GM_5,0.001139005,0.0024697736,0.024595547,-0.03214664,0.056742188
GM_6,-0.0012228463,0.0018637184,0.010773263,-0.02666193,0.037435193
GM_7,-0.0009079359,0.0017031474,0.0062661604,-0.034842875,0.041109037
GM_8,-0.00018796297,0.006096017,0.04118988,-0.038919944,0.08010982
GM_9,0.0023936378,0.005082699,0.065692775,-0.025179217,0.09087199
GM_10,0.0019598964,0.0050547034,0.05632322,-0.06347487,0.119798094
GM_11,0.0022095896,0.0049285074,0.03947826,-0.03487149,0.074349746
GM_12,-0.0016053746,0.0054135695,0.029523881,-0.052697867,0.08222175
GM_13,-0.0012656471,0.0074958317,0.06975892,-0.08137405,0.15113297
GM_14,0.00080259907,0.004953875,0.03866355,-0.02202034,0.06068389
GM_15,0.00019882145,0.007504775,0.06026315,-0.049561538,0.10982469
GM_16,-0.0007123999,0.0016999856,0.008621919,-0.016823046,0.025444966
GM_17,0.0024859789,0.0041483673,0.033886094,-0.027847141,0.061733235
GM_18,-0.0020764105,0.0038557088,0.02258541,-0.027478253,0.050063662
GM_19,0.00010350784,0.010652089,0.06502321,-0.069784105,0.13480732
GM_20,-0.004062518,0.006479151,0.019271592,-0.058428913,0.0777005
GM_21,-0.0008859238,0.0021031187,0.010355868,-0.023716139,0.034072008
GM_22,-0.002873065,0.009258658,0.045009993,-0.05861117,0.10362116
GM_23,0.00017752619,0.004482307,0.12586322,-0.036842175,0.16270539
GM_24,-0.0007799015,0.0062123626,0.044017017,-0.033879448,0.07789646
GM_25,0.004059724,0.008081439,0.08609707,-0.04626134,0.1323584
GM_26,0.001583209,0.006768392,0.0627179,-0.053864777,0.11658268
GM_27,0.00059023575,0.003386063,0.023296414,-0.022331636,0.04562805
GM_28,-0.0028402342,0.00885503,0.048297748,-0.06437026,0.11266801
GM_29,0.0046386044,0.0064625936,0.05335189,-0.019227404,0.072579294
GM_30,5.3260996e-05,0.005759491,0.033570345,-0.033231314,0.06680166
GM_31,0.00063460885,0.006170396,0.03623296,-0.03349461,0.06972757
GM_32,-0.0024731983,0.0052225366,0.017237289,-0.054633256,0.07187054
GM_33,0.0019050287,0.0039252862,0.032934565,-0.018554166,0.05148873
GM_34,0.0001578489,0.004639238,0.034270234,-0.033994336,0.068264574
GM_35,-0.0002985377,0.0057455706,0.051683486,-0.037815977,0.08949946
GM_36,0.00018259868,0.0071897274,0.057851262,-0.034623712,0.092474975
GM_37,0.00095044373,0.0035759436,0.021983372,-0.022251608,0.04423498
GM_38,0.010089322,0.007218224,0.06861958,-0.010470906,0.07909048
GM_39,-0.012651637,0.018162038,0.093965665,-0.11719371,0.21115938
GM_40,-9.878908e-05,0.002924717,0.024188869,-0.015859097,0.040047966
GM_41,0.0039501158,0.00746229,0.13907933,-0.03136701,0.17044634
GM_42,0.0008130109,0.0021955557,0.021480648,-0.031333856,0.052814506
GM_43,-0.004745927,0.006518461,0.02801692,-0.054305524,0.08232244
GM_44,-0.0007718581,0.0043873037,0.027859889,-0.0462376,0.074097484
GM_45,-0.001610208,0.0070335018,0.04134893,-0.045011897,0.08636083
GM_46,-0.00219644,0.0029714599,0.0104455585,-0.023079555,0.033525113
GM_47,0.0014541766,0.004663083,0.03176493,-0.027215576,0.058980502
GM_48,0.0003813644,0.0053974288,0.04529369,-0.03190937,0.07720306
GM_49,0.0003382937,0.0037720376,0.03108805,-0.034723226,0.06581128
GM_50,0.00072796637,0.0062097777,0.053816736,-0.03297839,0.08679512
GM_51,0.0002889998,0.0061533637,0.05670171,-0.045340434,0.10204214
GM_52,0.0015009402,0.0032638314,0.032371417,-0.015895795,0.04826721
GM_53,3.910936e-05,0.009019928,0.04262249,-0.07202634,0.114648834
GM_54,-0.0018357491,0.004722529,0.033266596,-0.03827444,0.07154104
GM_55,0.0011777972,0.0063819126,0.082252204,-0.02628005,0.10853225
GM_56,-0.0003123057,0.0061813258,0.049572315,-0.07474803,0.12432034
GM_57,6.782521e-05,0.0037578284,0.023928981,-0.025928153,0.049857132
GM_58,-0.0040921844,0.041422687,0.26447773,-0.19466646,0.45914418
GM_59,0.0009975972,0.0018427571,0.016252259,-0.008889963,0.025142223
GM_60,0.00093474187,0.005758855,0.03440953,-0.05090918,0.085318714
GM_61,0.0016646658,0.0049215383,0.052503824,-0.024615057,0.07711888
GM_62,-0.0010486168,0.0019380783,0.009040427,-0.0249498,0.033990227
GM_63,0.00011005517,0.0047620186,0.03995951,-0.040647354,0.08060686
GM_64,0.0014905849,0.0054761735,0.05212155,-0.01995064,0.07207219
GM_65,0.0045106094,0.0056987773,0.037073612,-0.039665412,0.07673903
GM_66,4.7807298e-05,0.007041054,0.06385901,-0.04029181,0.10415082
GM_67,-0.00018480603,0.004962882,0.044250753,-0.05471873,0.09896948
GM_68,0.001084591,0.0050678,0.048715487,-0.029232016,0.077947505
GM_69,-0.0019082259,0.0035664653,0.014716224,-0.03693268,0.051648904
GM_70,0.00012397864,0.0031274008,0.028803501,-0.025687346,0.05449085
GM_71,-0.0015308214,0.0038724774,0.014147453,-0.047432374,0.061579827
GM_72,0.0030839334,0.0045414325,0.0670654,-0.01552306,0.082588464
GM_73,-0.0024935426,0.0063567357,0.037430346,-0.07482113,0.112251475
GM_74,0.0044327267,0.008900685,0.071156874,-0.0354283,0.106585175
GM_75,0.012928537,0.009910609,0.08033657,-0.016758343,0.097094916
GM_76,-0.0070377723,0.0088794865,0.032193877,-0.06451878,0.09671266
GM_77,0.0008644147,0.0056683095,0.039436802,-0.050433,0.0898698
GM_78,-0.0005546386,0.0044357907,0.038525283,-0.058137227,0.09666251
GM_79,0.0042339773,0.0076358896,0.11446457,-0.031899884,0.14636445
GM_80,0.021351257,0.017347027,0.14533734,-0.064733244,0.21007058
GM_81,0.0029425826,0.008149364,0.067109935,-0.07883657,0.1459465
GM_82,-0.00027521027,0.005621587,0.047143377,-0.03131673,0.07846011
GM_83,0.036218934,0.020290446,0.116351075,-0.07639096,0.19274203
GM_84,-4.2566673e-05,0.0036781076,0.024306651,-0.037419647,0.0617263
GM_85,0.0010592258,0.0051396247,0.041255876,-0.04491121,0.08616708
GM_86,0.0016386138,0.004234998,0.052154683,-0.021456786,0.07361147
GM_87,-0.0014932589,0.0032381818,0.012699084,-0.0450221,0.057721183
GM_88,-0.0019519326,0.0039139097,0.04207584,-0.032967974,0.07504381
GM_89,6.609215e-05,0.0076661455,0.06866284,-0.057781804,0.12644464
GM_90,0.0014005593,0.0030385973,0.032787915,-0.012531667,0.045319583
GM_91,0.0003340733,0.0017065512,0.024184855,-0.015182863,0.039367717
GM_92,0.002691483,0.006722441,0.053283293,-0.03679766,0.090080954
GM_93,-0.0007517566,0.00619122,0.037071966,-0.050192665,0.08726463
GM_94,0.0020721804,0.003861048,0.03149912,-0.015361423,0.046860546
GM_95,0.0031697154,0.008192442,0.07573383,-0.034518242,0.110252075
GM_96,-0.00074692536,0.004365048,0.03025961,-0.059924502,0.09018411
GM_97,0.00051959895,0.0060395338,0.044317603,-0.042694476,0.08701208
GM_98,-0.0016261018,0.007616471,0.042846054,-0.055527844,0.0983739
GM_99,0.0013926972,0.006001143,0.07591827,-0.02171981,0.097638085
GM_100,0.0004916387,0.007363061,0.045058828,-0.09138399,0.13644283
GM_101,0.0005300262,0.0049913125,0.04089033,-0.02338457,0.0642749
GM_102,0.00059892377,0.002956303,0.02363696,-0.0264736,0.05011056
GM_103,-0.0011461193,0.0051552937,0.053144008,-0.06453327,0.11767728
GM_104,0.0030138684,0.0036817945,0.028563244,-0.013826924,0.042390168
GM_105,-0.0031266871,0.0062559876,0.041362416,-0.03426567,0.07562809
GM_106,0.00071172725,0.0045202486,0.061524026,-0.02995259,0.09147662
GM_107,-0.0034552242,0.005741369,0.026797399,-0.18188658,0.20868398
GM_108,0.002826266,0.007060266,0.051203467,-0.05438858,0.10559204
GM_109,-0.0011093774,0.009687008,0.08857421,-0.08697411,0.17554832
GM_110,0.00014409127,0.007372648,0.046661932,-0.04907663,0.09573856
GM_111,-0.0018665965,0.0049561863,0.030885918,-0.03532906,0.06621498
GM_112,0.0006527072,0.0033232567,0.046858344,-0.024546897,0.07140524
GM_113,-0.00022926286,0.0026927846,0.016422827,-0.028538775,0.0449616
GM_114,-0.0020904166,0.0020491849,0.013964409,-0.018083546,0.032047957
GM_115,-0.00068631687,0.0024757462,0.017383307,-0.020791078,0.038174383
GM_116,-0.0015701882,0.00519949,0.028610673,-0.059350688,0.08796136
GM_117,-0.010149276,0.009580617,0.03161454,-0.07762791,0.109242454
GM_118,0.0023345365,0.0063936245,0.04089477,-0.03666681,0.07756158
GM_119,0.0044475137,0.008111403,0.07470521,-0.05732633,0.13203155
GM_120,-0.0010507581,0.005999642,0.038419783,-0.039410867,0.07783065
GM_121,0.0009173582,0.0074840253,0.042240813,-0.05615827,0.09839909
GM_122,-0.0029119817,0.0059184,0.03084765,-0.042094693,0.07294235
GM_123,-0.0019451082,0.0062069306,0.029398315,-0.03924562,0.068643935
GM_124,-0.0010582567,0.0041942955,0.047883235,-0.041180294,0.089063525
GM_125,-0.0011813772,0.0041448283,0.027029015,-0.052527055,0.07955607
GM_126,0.010335934,0.008906254,0.08843853,-0.03864415,0.12708268
GM_127,0.00051166693,0.0055641253,0.03420354,-0.04215407,0.07635761
GM_128,-0.00071285747,0.0026536528,0.010902369,-0.026822941,0.03772531
GM_129,-0.0037021413,0.0054714154,0.02831394,-0.03878419,0.06709813
GM_130,0.0035746086,0.010401544,0.05392312,-0.058000863,0.11192398
GM_131,0.0017891544,0.0047929683,0.04680414,-0.02027633,0.06708047
GM_132,-0.0017091593,0.005319515,0.039884076,-0.0396449,0.07952897
GM_133,-0.0012327932,0.0050165607,0.03551037,-0.038673893,0.07418426
GM_134,0.0015776536,0.00554541,0.037265576,-0.053702805,0.090968385
GM_135,-0.0025052943,0.0055717956,0.033446737,-0.044207968,0.077654704
GM_136,-5.9430593e-05,0.0040090242,0.03086792,-0.027828988,0.058696907
GM_137,-0.0008499522,0.0058261394,0.027098808,-0.04813918,0.07523799
GM_138,0.0012821286,0.005644487,0.04619846,-0.0432921,0.08949056
GM_139,-0.0015831958,0.006257633,0.083529234,-0.03341745,0.11694668
GM_140,0.0014342992,0.0027860526,0.03014795,-0.02216785,0.0523158
GM_141,-0.001151951,0.007504588,0.041209046,-0.048029423,0.089238465
GM_142,-0.0023826484,0.0064633987,0.028497258,-0.06388634,0.09238359
GM_143,0.018686043,0.012559037,0.11557776,-0.017061733,0.1326395
GM_144,-0.000989692,0.0040334426,0.048046764,-0.024457164,0.072503924
GM_145,0.0005171716,0.0036896584,0.07879326,-0.013052893,0.09184615
GM_146,0.0005782219,0.008120685,0.054992083,-0.058367714,0.113359794
GM_147,0.001145421,0.0036875769,0.0319192,-0.015725063,0.047644265
GM_148,0.00070819503,0.001387893,0.023082128,-0.0074467263,0.030528855
GM_149,0.0008856386,0.006323769,0.047388952,-0.04008409,0.08747304
GM_150,0.00041930788,0.007981074,0.0883878,-0.05276293,0.14115073
GM_151,0.0017538874,0.0049455706,0.048646662,-0.048511636,0.0971583
GM_152,0.00014973969,0.007643712,0.067017734,-0.04818929,0.115207024
GM_153,0.00043854848,0.0074646487,0.04654685,-0.06341607,0.109962925
GM_154,-0.0020008036,0.00825937,0.059088428,-0.06308401,0.12217243
GM_155,1.3463609e-05,0.005965053,0.033766624,-0.04368611,0.077452734
GM_156,-0.0012678758,0.007977915,0.056472722,-0.039645627,0.096118346
GM_157,-1.6225433e-05,0.0071382327,0.0357071,-0.041779354,0.077486455
GM_158,-0.00097520155,0.0023395196,0.010034699,-0.023934556,0.033969253
GM_159,-0.0009418831,0.003996914,0.025183054,-0.02233687,0.047519922
GM_160,-0.0019725794,0.0037583353,0.0142911,-0.03218647,0.04647757
GM_161,-0.0012784777,0.0054716696,0.03417568,-0.029543769,0.06371945
GM_162,-0.002418195,0.005309777,0.031679478,-0.05063139,0.08231087
